ShipmentID,OrderID,ShipmentDate,ExpectedDeliveryDate,ActualDeliveryDate,ShipmentStatus,Carrier,ShippingCost,DistanceKm,DeliveryDelayDays
SH012820,O112055,2023-04-13,2023-04-15,2023-04-17,Delivered,Pacific Rim Shipping,1992.21,7172.2,2.0
SH012821,O112056,2024-06-16,2024-06-22,2024-07-03,Delivered,SwiftHaul Freight,1022.98,1815.9,11.0
SH012822,O112057,2023-06-18,2023-06-20,2023-06-22,Delivered,GlobalFreight Express,924.42,746.8,2.0
SH012823,O112058,2025-10-12,2025-10-15,2025-10-16,Delivered,GlobalFreight Express,921.92,3184.8,1.0
SH012824,O112059,2024-09-09,2024-09-12,2024-09-10,Delivered,Overland Transit Co.,600.44,1822.4,-2.0
SH012825,O112060,2024-05-01,2024-05-07,2024-05-07,Delivered,Continental Cargo,267.45,533.7,0.0
SH012826,O112061,2025-09-18,2025-09-18,2025-09-22,Delayed,Pacific Rim Shipping,2237.38,1146.6,4.0
SH012827,O112062,2025-01-01,2025-01-06,2025-01-05,Delivered,Continental Cargo,151.93,603.7,-1.0
SH012828,O112063,2023-09-04,2023-09-07,2023-09-08,Delivered,Meridian Line Carriers,297.09,1083.8,1.0
SH012829,O112064,2023-01-17,2023-01-24,2023-01-24,Delivered,Meridian Line Carriers,171.51,216.9,0.0
SH012830,O112065,2023-11-10,2023-11-17,2023-11-21,Delivered,SwiftHaul Freight,47.97,822.0,4.0
SH012831,O112066,2025-05-12,2025-05-16,2025-05-25,Delivered,SwiftHaul Freight,811.86,1619.9,9.0
SH012832,O112067,2023-06-12,2023-06-15,2023-06-16,Delivered,Overland Transit Co.,271.13,1951.1,1.0
SH012833,O112068,2023-02-02,2023-02-12,2023-02-11,Delivered,Meridian Line Carriers,161.78,1480.0,-1.0
SH012834,O112069,2023-12-19,2023-12-26,2023-12-25,Delivered,Overland Transit Co.,1108.27,1390.0,-1.0
SH012835,O112070,2023-04-08,2023-04-16,2023-04-16,Delivered,Overland Transit Co.,442.53,1982.6,0.0
SH012836,O112071,2024-06-18,2024-06-25,2024-06-27,Delivered,TransCon Logistics,30.42,53.8,2.0
SH012837,O112071,2024-06-16,2024-06-22,2024-06-23,Delivered,SwiftHaul Freight,30.11,176.1,1.0
SH012838,O112072,2025-12-03,2025-12-11,2025-12-15,Delivered,SwiftHaul Freight,291.41,2957.9,4.0
SH012839,O112073,2024-03-04,2024-03-08,2024-03-12,Delayed,BlueDart Global,284.23,2622.2,4.0
SH012840,O112074,2023-04-28,2023-05-03,2023-05-03,Delivered,Overland Transit Co.,529.94,2179.9,0.0
SH012841,O112075,2024-10-02,2024-10-08,2024-10-07,Delivered,Meridian Line Carriers,286.71,2627.2,-1.0
SH012842,O112077,2023-11-27,2023-12-04,2023-12-10,Delayed,TransCon Logistics,101.95,686.2,6.0
SH012843,O112078,2023-03-27,2023-03-30,2023-03-31,Delivered,Meridian Line Carriers,373.73,1941.1,1.0
SH012844,O112079,2023-07-29,2023-08-04,2023-08-03,Delivered,Pacific Rim Shipping,658.92,1609.9,-1.0
SH012845,O112080,2024-10-31,2024-11-06,2024-11-07,Delivered,BlueDart Global,192.39,594.5,1.0
SH012846,O112081,2024-01-26,2024-01-29,2024-02-02,Delivered,GlobalFreight Express,662.89,2684.5,4.0
SH012847,O112082,2024-04-04,2024-04-17,2024-04-21,Delayed,SwiftHaul Freight,43.16,1524.1,4.0
SH012848,O112083,2024-03-10,2024-03-10,2024-03-11,Delivered,Overland Transit Co.,86.02,561.5,1.0
SH012849,O112084,2025-11-02,2025-11-08,2025-11-11,Delivered,BlueDart Global,183.1,1545.3,3.0
SH012850,O112085,2024-03-24,2024-03-27,2024-03-30,Delivered,BlueDart Global,209.08,1039.5,3.0
SH012851,O112086,2024-03-17,2024-03-19,2024-03-20,Delivered,Meridian Line Carriers,260.01,2569.1,1.0
SH012852,O112087,2024-12-11,2024-12-17,2024-12-20,Delivered,BlueDart Global,841.01,9858.0,3.0
SH012853,O112088,2025-01-15,2025-01-18,2025-01-18,Delivered,Continental Cargo,128.45,1251.6,0.0
SH012854,O112088,2025-01-17,2025-01-20,2025-01-18,Delivered,Overland Transit Co.,188.97,2070.2,-2.0
SH012855,O112089,2025-09-27,2025-10-03,2025-10-03,Delivered,BlueDart Global,472.25,2038.8,0.0
SH012856,O112090,2023-06-30,2023-07-04,2023-07-12,Delayed,GlobalFreight Express,1892.49,1729.9,8.0
SH012857,O112091,2024-12-18,2024-12-26,2024-12-28,Delivered,SwiftHaul Freight,258.38,3188.7,2.0
SH012858,O112092,2025-07-21,2025-07-25,2025-07-27,Delivered,BlueDart Global,443.62,667.0,2.0
SH012859,O112093,2024-09-01,2024-09-04,2024-09-05,Delivered,Continental Cargo,201.53,1116.8,1.0
SH012860,O112095,2024-04-29,2024-05-04,2024-05-06,Delivered,Pacific Rim Shipping,227.33,2730.7,2.0
SH012861,O112096,2023-10-15,2023-10-22,2023-10-20,Delivered,Pacific Rim Shipping,1161.65,12893.9,-2.0
SH012862,O112097,2025-01-16,2025-01-21,2025-01-23,Delivered,Pacific Rim Shipping,1312.35,8425.0,2.0
SH012863,O112098,2025-05-20,2025-05-22,2025-05-24,Delivered,Overland Transit Co.,364.87,856.2,2.0
SH012864,O112099,2023-07-07,2023-07-15,2023-07-18,Delivered,SwiftHaul Freight,458.06,2567.6,3.0
SH012865,O112099,2023-07-07,2023-07-14,2023-07-18,Delivered,Continental Cargo,452.01,1912.6,4.0
SH012866,O112101,2023-05-23,2023-06-03,2023-06-04,Delivered,SwiftHaul Freight,943.62,13994.1,1.0
SH012867,O112102,2024-04-24,2024-04-28,2024-05-02,Delivered,GlobalFreight Express,563.06,138.1,4.0
SH012868,O112102,2024-04-26,2024-05-03,2024-05-07,Delivered,Pacific Rim Shipping,596.46,64.6,4.0
SH012869,O112103,2025-01-07,2025-01-16,2025-01-23,Delivered,SwiftHaul Freight,787.88,10153.0,7.0
SH012870,O112104,2024-11-06,2024-11-07,2024-11-09,Delivered,Pacific Rim Shipping,359.49,708.7,2.0
SH012871,O112105,2024-07-09,2024-07-16,2024-07-15,Delivered,Overland Transit Co.,158.21,2934.2,-1.0
SH012872,O112106,2024-03-27,2024-03-31,2024-04-02,Delivered,Overland Transit Co.,47.48,246.4,2.0
SH012873,O112107,2023-06-23,2023-07-05,2023-07-03,Delivered,Continental Cargo,671.89,2539.9,-2.0
SH012874,O112108,2024-03-31,2024-04-05,2024-04-07,Delivered,GlobalFreight Express,98.55,1352.5,2.0
SH012875,O112109,2024-04-04,2024-04-10,2024-04-08,Delivered,TransCon Logistics,910.28,1330.2,-2.0
SH012876,O112110,2025-12-13,2025-12-28,2025-12-26,Delivered,GlobalFreight Express,476.16,2238.9,-2.0
SH012877,O112111,2025-10-08,2025-10-11,2025-10-14,Delivered,Continental Cargo,509.12,1712.1,3.0
SH012878,O112112,2023-12-26,2024-01-02,2024-01-06,Delayed,Pacific Rim Shipping,107.81,2113.4,4.0
SH012879,O112113,2024-02-22,2024-02-26,2024-03-04,Delivered,Continental Cargo,364.18,1111.9,7.0
SH012880,O112114,2025-12-07,2025-12-16,2025-12-17,Delivered,GlobalFreight Express,795.05,11792.4,1.0
SH012881,O112116,2025-12-02,2025-12-06,2025-12-11,Delivered,SwiftHaul Freight,77.3,760.2,5.0
SH012882,O112116,2025-12-02,2025-12-04,2025-12-04,Delivered,Meridian Line Carriers,57.58,555.8,0.0
SH012883,O112117,2024-08-10,2024-08-10,2024-08-11,Delivered,Meridian Line Carriers,940.19,332.1,1.0
SH012884,O112118,2023-10-24,2023-10-29,2023-10-31,Delivered,GlobalFreight Express,217.75,2263.5,2.0
SH012885,O112119,2023-11-08,2023-11-11,2023-11-16,Delayed,Pacific Rim Shipping,452.18,1624.7,5.0
SH012886,O112120,2025-08-28,2025-09-01,2025-08-30,Delivered,GlobalFreight Express,268.18,2694.3,-2.0
SH012887,O112121,2023-12-13,2023-12-21,2023-12-24,Delivered,BlueDart Global,108.26,2236.7,3.0
SH012888,O112121,2023-12-13,2023-12-20,2023-12-23,Delivered,SwiftHaul Freight,132.11,2573.9,3.0
SH012889,O112122,2024-04-24,2024-05-01,2024-05-02,Delivered,Meridian Line Carriers,272.31,644.0,1.0
SH012890,O112122,2024-04-28,2024-05-02,2024-05-02,Delivered,GlobalFreight Express,347.06,519.7,0.0
SH012891,O112123,2023-06-28,2023-07-05,2023-07-09,Delivered,TransCon Logistics,54.76,455.3,4.0
SH012892,O112123,2023-06-26,2023-07-04,2023-07-02,Delivered,Continental Cargo,49.78,430.2,-2.0
SH012893,O112124,2023-03-20,2023-03-23,2023-03-30,Delivered,Continental Cargo,1073.32,714.3,7.0
SH012894,O112125,2025-02-21,2025-03-02,2025-03-06,Delayed,BlueDart Global,291.82,6002.6,4.0
SH012895,O112126,2025-06-07,2025-06-09,2025-06-16,Delivered,SwiftHaul Freight,552.6,885.7,7.0
SH012896,O112126,2025-06-07,2025-06-09,2025-06-15,Delayed,GlobalFreight Express,650.67,353.7,6.0
SH012897,O112127,2024-12-02,2024-12-08,2024-12-11,Delivered,TransCon Logistics,394.24,2253.9,3.0
SH012898,O112127,2024-12-02,2024-12-09,2024-12-09,Delivered,Pacific Rim Shipping,326.06,1357.8,0.0
SH012899,O112128,2025-05-05,2025-05-05,2025-05-06,Delivered,BlueDart Global,1605.59,1960.5,1.0
SH012900,O112130,2023-03-17,2023-03-22,2023-03-23,Delivered,Overland Transit Co.,372.94,2708.7,1.0
SH012901,O112131,2023-04-29,2023-05-04,2023-05-04,Delivered,TransCon Logistics,717.82,2884.9,0.0
SH012902,O112132,2023-05-17,2023-05-23,2023-05-24,Delivered,Continental Cargo,344.94,2892.4,1.0
SH012903,O112133,2024-06-08,2024-06-10,2024-06-12,Delivered,TransCon Logistics,352.82,546.6,2.0
SH012904,O112133,2024-06-04,2024-06-06,2024-06-07,Delivered,Continental Cargo,350.39,436.3,1.0
SH012905,O112134,2025-04-03,2025-04-05,2025-04-05,Delivered,TransCon Logistics,486.72,608.9,0.0
SH012906,O112135,2025-06-26,2025-07-02,2025-07-05,Delivered,Continental Cargo,128.25,1298.7,3.0
SH012907,O112136,2023-12-06,2023-12-11,2023-12-12,Delivered,Overland Transit Co.,292.13,880.5,1.0
SH012908,O112137,2025-11-05,2025-11-22,2025-11-25,Delivered,TransCon Logistics,905.34,9656.8,3.0
SH012909,O112138,2025-10-03,2025-10-08,2025-10-08,Delivered,SwiftHaul Freight,714.69,7562.6,0.0
SH012910,O112139,2024-04-28,2024-04-29,2024-04-29,Delivered,Meridian Line Carriers,821.63,1301.4,0.0
SH012911,O112140,2023-03-04,2023-03-09,2023-03-10,Delivered,SwiftHaul Freight,146.55,2658.3,1.0
SH012912,O112140,2023-03-04,2023-03-09,2023-03-15,Delivered,Continental Cargo,102.25,929.5,6.0
SH012913,O112141,2024-09-04,2024-09-06,2024-09-09,Delivered,Meridian Line Carriers,350.55,1826.9,3.0
SH012914,O112142,2024-06-04,2024-06-09,2024-06-05,Delivered,Pacific Rim Shipping,797.0,1627.1,-4.0
SH012915,O112143,2023-02-06,2023-02-10,2023-02-13,Delivered,Continental Cargo,1822.16,2899.0,3.0
SH012916,O112144,2023-12-12,2023-12-20,2023-12-19,Delivered,Overland Transit Co.,329.8,3110.7,-1.0
SH012917,O112145,2023-04-24,2023-05-01,2023-05-01,Delivered,Pacific Rim Shipping,335.13,1934.3,0.0
SH012918,O112147,2024-09-06,2024-09-13,2024-09-15,Delivered,TransCon Logistics,65.34,394.2,2.0
SH012919,O112147,2024-09-06,2024-09-12,2024-09-12,Delivered,TransCon Logistics,57.36,413.4,0.0
SH012920,O112148,2023-11-10,2023-11-14,2023-11-17,Delivered,TransCon Logistics,3097.4,2348.8,3.0
SH012921,O112149,2025-10-26,2025-11-01,2025-11-02,Delivered,Pacific Rim Shipping,188.21,2489.4,1.0
SH012922,O112150,2025-10-20,2025-10-27,2025-10-30,Delivered,SwiftHaul Freight,240.11,1458.8,3.0
SH012923,O112151,2023-09-12,2023-09-12,2023-09-20,Delivered,TransCon Logistics,740.68,707.5,8.0
SH012924,O112152,2023-02-24,2023-03-03,2023-03-05,Delivered,Meridian Line Carriers,435.13,2492.5,2.0
SH012925,O112153,2024-01-02,2024-01-07,2024-01-09,Delivered,SwiftHaul Freight,163.35,1502.2,2.0
SH012926,O112154,2023-03-31,2023-04-03,2023-04-06,Delivered,TransCon Logistics,954.75,2073.2,3.0
SH012927,O112155,2024-08-21,2024-08-24,2024-08-24,Delivered,Overland Transit Co.,924.54,737.4,0.0
SH012928,O112156,2025-10-23,2025-10-27,2025-10-26,Delivered,SwiftHaul Freight,777.3,1653.0,-1.0
SH012929,O112157,2025-09-03,2025-09-09,2025-09-07,Delivered,Meridian Line Carriers,77.1,421.8,-2.0
SH012930,O112158,2025-10-26,2025-11-03,2025-11-04,Delivered,BlueDart Global,239.72,3096.5,1.0
SH012931,O112159,2023-12-17,2023-12-19,2023-12-18,Delivered,Overland Transit Co.,144.69,661.0,-1.0
SH012932,O112160,2023-02-03,2023-02-07,2023-02-12,Delivered,TransCon Logistics,480.09,655.9,5.0
SH012933,O112162,2024-03-15,2024-03-16,2024-03-16,Delivered,GlobalFreight Express,781.4,2713.4,0.0
SH012934,O112163,2025-07-19,2025-07-22,2025-07-27,Delayed,SwiftHaul Freight,1117.88,396.4,5.0
SH012935,O112164,2024-10-30,2024-11-06,2024-11-05,Delivered,Overland Transit Co.,423.68,2759.0,-1.0
SH012936,O112165,2025-06-20,2025-07-01,2025-07-02,Delivered,TransCon Logistics,215.24,1869.8,1.0
SH012937,O112166,2024-09-25,2024-10-01,2024-10-05,Delivered,TransCon Logistics,1188.16,5318.3,4.0
SH012938,O112167,2023-05-07,2023-05-12,2023-05-13,Delivered,GlobalFreight Express,151.15,1247.6,1.0
SH012939,O112168,2024-06-25,2024-06-30,2024-07-06,Delivered,SwiftHaul Freight,208.27,916.1,6.0
SH012940,O112169,2025-03-11,2025-03-13,2025-03-13,Delivered,BlueDart Global,300.24,2021.1,0.0
SH012941,O112170,2024-01-29,2024-02-05,2024-02-11,Delivered,Pacific Rim Shipping,559.99,6368.5,6.0
SH012942,O112172,2024-06-02,2024-06-08,2024-06-10,Delivered,Continental Cargo,944.06,3128.3,2.0
SH012943,O112173,2024-07-05,2024-07-07,2024-07-09,Delivered,GlobalFreight Express,262.96,749.5,2.0
SH012944,O112173,2024-07-07,2024-07-10,2024-07-11,Delivered,Continental Cargo,442.19,3127.3,1.0
SH012945,O112174,2024-06-25,2024-07-03,2024-07-03,Delivered,SwiftHaul Freight,173.85,2087.1,0.0
SH012946,O112175,2023-01-11,2023-01-19,2023-01-22,Delivered,Pacific Rim Shipping,209.36,2183.3,3.0
SH012947,O112176,2024-05-12,2024-05-16,2024-05-16,Delivered,Meridian Line Carriers,295.0,4033.5,0.0
SH012948,O112177,2024-12-12,2024-12-15,2024-12-17,Delivered,BlueDart Global,64.1,139.5,2.0
SH012949,O112179,2025-01-04,2025-01-08,2025-01-09,Delivered,Overland Transit Co.,1437.67,895.6,1.0
SH012950,O112180,2023-05-19,2023-06-02,2023-06-04,Delivered,Pacific Rim Shipping,350.17,2073.8,2.0
SH012951,O112181,2024-09-04,2024-09-12,2024-09-12,Delivered,Meridian Line Carriers,177.56,881.6,0.0
SH012952,O112182,2025-07-07,2025-07-12,2025-07-11,Delivered,TransCon Logistics,344.0,2165.6,-1.0
SH012953,O112183,2023-05-05,2023-05-12,2023-05-10,Delivered,Continental Cargo,181.54,2761.5,-2.0
SH012954,O112184,2025-08-30,2025-09-04,2025-09-02,Delivered,Continental Cargo,193.74,2496.6,-2.0
SH012955,O112184,2025-09-01,2025-09-06,2025-09-07,Delivered,TransCon Logistics,245.39,3078.0,1.0
SH012956,O112185,2025-10-14,2025-10-14,2025-10-15,Delivered,SwiftHaul Freight,202.57,689.7,1.0
SH012957,O112186,2024-08-11,2024-08-19,2024-08-19,Delivered,Pacific Rim Shipping,240.85,5208.5,0.0
SH012958,O112186,2024-08-11,2024-08-26,2024-08-25,Delivered,TransCon Logistics,522.42,13510.1,-1.0
SH012959,O112186,2024-08-09,2024-08-23,2024-08-28,Delayed,SwiftHaul Freight,298.3,9990.1,5.0
SH012960,O112187,2025-01-29,2025-02-01,2025-02-07,Delivered,Pacific Rim Shipping,256.74,2163.3,6.0
SH012961,O112188,2023-10-23,2023-11-04,2023-11-05,Delivered,Overland Transit Co.,238.81,6628.3,1.0
SH012962,O112189,2023-08-02,2023-08-06,2023-08-11,Delayed,Continental Cargo,198.73,2080.6,5.0
SH012963,O112189,2023-07-31,2023-08-03,2023-08-02,Delivered,Meridian Line Carriers,224.04,2423.8,-1.0
SH012964,O112190,2023-11-23,2023-11-29,2023-11-30,Delivered,Overland Transit Co.,126.12,1754.0,1.0
SH012965,O112191,2023-06-21,2023-06-27,2023-06-30,Delivered,GlobalFreight Express,176.94,2568.8,3.0
SH012966,O112191,2023-06-21,2023-06-26,2023-06-29,Delivered,Meridian Line Carriers,115.39,2121.0,3.0
SH012967,O112192,2023-11-29,2023-12-03,2023-12-04,Delivered,Pacific Rim Shipping,320.44,2412.0,1.0
SH012968,O112193,2025-05-02,2025-05-02,2025-05-03,Delivered,Meridian Line Carriers,228.17,177.8,1.0
SH012969,O112194,2024-12-14,2024-12-21,2024-12-23,Delivered,TransCon Logistics,1111.8,1999.3,2.0
SH012970,O112195,2025-05-30,2025-06-06,2025-06-04,Delivered,Overland Transit Co.,174.47,2871.7,-2.0
SH012971,O112196,2025-10-11,2025-10-18,2025-10-23,Delayed,SwiftHaul Freight,547.92,2839.4,5.0
SH012972,O112197,2025-03-29,2025-04-03,2025-04-05,Delivered,TransCon Logistics,190.03,1995.9,2.0
SH012973,O112198,2025-10-15,2025-10-18,2025-10-16,Delivered,TransCon Logistics,199.37,1260.6,-2.0
SH012974,O112199,2024-01-06,2024-01-10,2024-01-11,Delivered,Overland Transit Co.,192.49,1411.3,1.0
SH012975,O112201,2024-06-29,2024-07-05,2024-07-04,Delivered,Overland Transit Co.,221.61,1571.1,-1.0
SH012976,O112202,2025-03-08,2025-03-13,2025-03-17,Delivered,BlueDart Global,1312.33,2211.2,4.0
SH012977,O112203,2024-09-19,2024-09-27,2024-09-26,Delivered,BlueDart Global,660.56,1715.3,-1.0
SH012978,O112204,2025-07-14,2025-07-24,2025-07-23,Delivered,TransCon Logistics,375.14,2351.6,-1.0
SH012979,O112205,2023-02-24,2023-02-28,,Lost,GlobalFreight Express,357.3,960.3,
SH012980,O112206,2023-09-28,2023-10-10,2023-10-07,Delivered,TransCon Logistics,92.57,1550.6,-3.0
SH012981,O112207,2023-10-31,2023-11-04,2023-11-02,Delivered,Meridian Line Carriers,73.06,339.4,-2.0
SH012982,O112208,2023-05-13,2023-05-17,2023-05-18,Delivered,Overland Transit Co.,206.37,2586.0,1.0
SH012983,O112209,2024-01-20,2024-01-21,2024-01-21,Delivered,Meridian Line Carriers,2925.49,1618.4,0.0
SH012984,O112210,2025-12-19,2025-12-29,2025-12-29,Delivered,Pacific Rim Shipping,344.23,2472.5,0.0
SH012985,O112211,2025-11-27,2025-12-03,2025-12-03,Delivered,BlueDart Global,68.25,654.7,0.0
SH012986,O112212,2023-03-15,2023-03-21,2023-03-25,Delayed,GlobalFreight Express,360.32,1005.2,4.0
SH012987,O112213,2024-01-25,2024-02-02,2024-02-01,Delivered,GlobalFreight Express,94.54,1589.2,-1.0
SH012988,O112214,2024-10-05,2024-10-15,2024-10-24,Delivered,SwiftHaul Freight,401.48,2459.7,9.0
SH012989,O112215,2024-06-06,2024-06-15,,Lost,Overland Transit Co.,398.61,8699.8,
SH012990,O112216,2023-09-27,2023-10-02,2023-10-03,Delivered,SwiftHaul Freight,679.79,2000.4,1.0
SH012991,O112217,2025-02-14,2025-02-19,2025-02-21,Delivered,Meridian Line Carriers,679.82,2944.9,2.0
SH012992,O112218,2024-10-10,2024-10-10,2024-10-11,Delivered,Overland Transit Co.,475.63,313.6,1.0
SH012993,O112219,2023-12-12,2023-12-19,2023-12-25,Delivered,Pacific Rim Shipping,258.2,2613.2,6.0
SH012994,O112220,2024-11-16,2024-11-18,2024-11-19,Delivered,Continental Cargo,1406.49,2327.3,1.0
SH012995,O112221,2023-05-24,2023-05-29,2023-06-02,Delivered,Overland Transit Co.,741.48,1868.3,4.0
SH012996,O112222,2025-03-22,2025-03-31,2025-03-29,Delivered,SwiftHaul Freight,436.32,849.8,-2.0
SH012997,O112223,2024-02-24,2024-02-27,2024-02-28,Delivered,Meridian Line Carriers,321.75,911.3,1.0
SH012998,O112223,2024-02-24,2024-02-27,2024-03-01,Delivered,Continental Cargo,389.75,2159.3,3.0
SH012999,O112224,2025-11-30,2025-12-07,2025-12-06,Delivered,Overland Transit Co.,100.73,1916.4,-1.0
SH013000,O112226,2025-12-24,2025-12-24,2025-12-25,Delivered,Meridian Line Carriers,897.8,1284.2,1.0
SH013001,O112227,2023-10-13,2023-10-17,2023-10-18,Delivered,SwiftHaul Freight,47.53,423.7,1.0
SH013002,O112228,2024-07-27,2024-08-03,2024-08-04,Delivered,Pacific Rim Shipping,146.5,1874.4,1.0
SH013003,O112229,2025-08-29,2025-09-09,2025-09-11,Delivered,Continental Cargo,69.2,912.6,2.0
SH013004,O112230,2024-11-26,2024-11-30,2024-12-02,Delivered,Continental Cargo,84.76,701.6,2.0
SH013005,O112230,2024-11-26,2024-12-01,2024-11-30,Delivered,GlobalFreight Express,107.2,1123.1,-1.0
SH013006,O112232,2024-10-08,2024-10-13,2024-10-12,Delivered,Pacific Rim Shipping,183.72,2905.0,-1.0
SH013007,O112233,2024-01-25,2024-01-28,2024-02-02,Delayed,TransCon Logistics,676.78,2449.5,5.0
SH013008,O112234,2024-06-22,2024-06-25,2024-06-30,Delivered,Pacific Rim Shipping,74.98,220.4,5.0
SH013009,O112235,2024-06-18,2024-06-25,2024-06-29,Delayed,BlueDart Global,184.63,199.0,4.0
SH013010,O112236,2025-04-26,2025-05-02,2025-05-07,Delivered,Pacific Rim Shipping,739.12,1825.7,5.0
SH013011,O112237,2023-12-12,2023-12-19,2023-12-19,Delivered,Overland Transit Co.,493.43,809.2,0.0
SH013012,O112238,2023-12-25,2023-12-28,2023-12-27,Delivered,BlueDart Global,499.21,1737.6,-1.0
SH013013,O112239,2023-07-27,2023-07-29,2023-07-31,Delivered,SwiftHaul Freight,196.62,1769.3,2.0
SH013014,O112240,2023-09-21,2023-09-22,2023-09-23,Delivered,BlueDart Global,256.73,1068.2,1.0
SH013015,O112241,2025-11-22,2025-12-05,2025-12-03,Delivered,Overland Transit Co.,93.08,1290.3,-2.0
SH013016,O112242,2025-05-24,2025-05-24,2025-05-25,Delivered,Overland Transit Co.,939.55,1160.8,1.0
SH013017,O112243,2025-05-26,2025-06-05,2025-06-04,Delivered,Overland Transit Co.,319.43,287.1,-1.0
SH013018,O112244,2023-08-10,2023-08-14,2023-08-14,Delivered,Meridian Line Carriers,246.38,719.1,0.0
SH013019,O112245,2025-06-20,2025-06-30,2025-07-02,Delivered,BlueDart Global,37.75,1317.3,2.0
SH013020,O112246,2024-08-17,2024-08-22,2024-08-21,Delivered,TransCon Logistics,1918.27,14806.8,-1.0
SH013021,O112248,2025-04-22,2025-04-25,2025-04-25,Delivered,TransCon Logistics,192.43,346.7,0.0
SH013022,O112249,2023-06-29,2023-07-05,2023-07-03,Delivered,Pacific Rim Shipping,245.08,3120.3,-2.0
SH013023,O112250,2023-12-01,2023-12-15,2023-12-18,Delivered,GlobalFreight Express,735.02,10534.2,3.0
SH013024,O112250,2023-12-03,2023-12-16,2023-12-20,Delayed,GlobalFreight Express,748.55,13812.7,4.0
SH013025,O112251,2023-06-21,2023-06-27,2023-06-28,Delivered,TransCon Logistics,225.63,3185.5,1.0
SH013026,O112251,2023-06-19,2023-06-24,2023-06-26,Delivered,TransCon Logistics,181.1,1725.3,2.0
SH013027,O112252,2024-09-24,2024-09-27,2024-09-27,Delivered,GlobalFreight Express,707.89,1362.8,0.0
SH013028,O112253,2025-04-14,2025-04-15,2025-04-16,Delivered,GlobalFreight Express,1256.59,2433.3,1.0
SH013029,O112254,2024-11-27,2024-12-03,2024-11-28,Delivered,Continental Cargo,184.99,1913.7,-5.0
SH013030,O112255,2024-09-24,2024-09-29,2024-10-03,Delivered,Continental Cargo,578.42,6067.6,4.0
SH013031,O112257,2024-05-09,2024-05-14,2024-05-11,Delivered,Meridian Line Carriers,559.34,2751.0,-3.0
SH013032,O112258,2025-04-29,2025-05-05,2025-05-04,Delivered,Meridian Line Carriers,266.68,1962.4,-1.0
SH013033,O112259,2023-10-08,2023-10-09,2023-10-12,Delivered,Meridian Line Carriers,227.41,933.8,3.0
SH013034,O112260,2025-10-24,2025-11-03,2025-11-07,Delayed,TransCon Logistics,134.8,1456.4,4.0
SH013035,O112261,2025-07-24,2025-07-28,2025-07-27,Delivered,Overland Transit Co.,55.22,783.2,-1.0
SH013036,O112262,2023-06-16,2023-06-21,2023-06-23,Delivered,Overland Transit Co.,420.38,2175.1,2.0
SH013037,O112263,2024-12-18,2024-12-25,2024-12-24,Delivered,Meridian Line Carriers,561.28,1396.6,-1.0
SH013038,O112264,2024-10-26,2024-11-06,2024-11-07,Delivered,Continental Cargo,329.75,3055.0,1.0
SH013039,O112265,2024-07-28,2024-07-28,2024-07-29,Delivered,SwiftHaul Freight,275.73,163.5,1.0
SH013040,O112266,2023-02-03,2023-02-08,2023-02-08,Delivered,Pacific Rim Shipping,237.63,3113.7,0.0
SH013041,O112267,2025-03-22,2025-03-25,2025-03-23,Delivered,Pacific Rim Shipping,246.51,1647.2,-2.0
SH013042,O112268,2024-03-16,2024-03-22,2024-03-23,Delivered,BlueDart Global,23.47,321.8,1.0
SH013043,O112269,2023-11-05,2023-11-09,2023-11-13,Delivered,GlobalFreight Express,298.1,2145.1,4.0
SH013044,O112270,2024-04-16,2024-04-21,2024-04-24,Delivered,BlueDart Global,74.59,832.9,3.0
SH013045,O112271,2025-03-07,2025-03-14,2025-03-20,Delivered,Continental Cargo,563.78,6144.2,6.0
SH013046,O112272,2025-05-13,2025-05-18,2025-05-17,Delivered,Overland Transit Co.,145.79,1612.8,-1.0
SH013047,O112273,2023-08-14,2023-08-14,2023-08-15,Delivered,GlobalFreight Express,1694.93,1186.9,1.0
SH013048,O112274,2025-10-12,2025-10-18,2025-10-14,Delivered,Overland Transit Co.,951.71,9845.6,-4.0
SH013049,O112275,2024-08-10,2024-08-17,2024-08-18,Delivered,Meridian Line Carriers,62.54,764.0,1.0
SH013050,O112276,2025-09-11,2025-09-16,2025-09-15,Delivered,SwiftHaul Freight,96.11,2091.8,-1.0
SH013051,O112277,2025-03-15,2025-03-18,2025-03-21,Delivered,Pacific Rim Shipping,240.58,2523.5,3.0
SH013052,O112278,2025-11-21,2025-11-26,2025-11-28,Delivered,Continental Cargo,305.06,405.2,2.0
SH013053,O112278,2025-11-21,2025-11-25,2025-11-24,Delivered,Meridian Line Carriers,308.63,823.1,-1.0
SH013054,O112279,2025-11-28,2025-12-03,2025-12-06,Delivered,Meridian Line Carriers,1506.65,12370.8,3.0
SH013055,O112280,2023-03-15,2023-03-22,2023-03-27,Delayed,GlobalFreight Express,279.55,3187.6,5.0
SH013056,O112281,2025-02-04,2025-02-11,2025-02-17,Delayed,Continental Cargo,570.3,725.4,6.0
SH013057,O112281,2025-02-06,2025-02-10,2025-02-16,Delivered,GlobalFreight Express,585.19,93.2,6.0
SH013058,O112282,2024-04-09,2024-04-12,2024-04-14,Delivered,Overland Transit Co.,305.6,537.5,2.0
SH013059,O112283,2024-06-05,2024-06-10,,Lost,GlobalFreight Express,1021.84,2362.1,
