ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,WeightKg,SupplierLeadTimeDays,ReorderLevel,DiscontinuedFlag
P0244,Everline Anchor Bolts,Industrial Supplies,Fasteners,Everline,132.86,242.67,1.69,39,307,False
P0245,Everline Exercise Bike,Sports & Outdoors,Fitness Equipment,Everline,137.15,352.31,2.25,57,31,False
P0246,Sunmark Webcam,Electronics,Computer Accessories,Sunmark,200.31,511.94,2.15,40,180,True
P0247,Lumenis Basketball,Sports & Outdoors,Team Sports,Lumenis,64.73,125.83,1.82,28,244,False
P0248,Sunmark Dash Camera,Automotive Parts,Interior Accessories,Sunmark,302.36,449.33,2.08,15,380,True
P0249,Steelbridge Vitamin C Tablets,Health & Personal Care,Vitamins & Supplements,Steelbridge,26.53,44.7,3.88,13,314,True
P0250,Ridgeline Soundbar,electronics,Audio,Ridgeline,150.21,307.43,1.74,59,492,False
P0251,Primeworks Heart Rate Monitor,Electronics,Wearables,Primeworks,80.36,153.21,2.24,29,456,True
P0252,Halvorsen Dash Cam,Automotive Parts,Electronics,Halvorsen,27.26,36.25,1.76,9,322,False
P0253,Halvorsen Bluetooth Car Adapter,Automotive Parts,Electronics,Halvorsen,285.47,639.07,7.43,45,106,False
P0254,Primeworks Fish Oil Capsules,Health & Personal Care,Vitamins & Supplements,Primeworks,16.87,21.63,4.13,9,272,False
P0255,Nordholt Blouse,Apparel & Footwear,Women's Apparel,Nordholt,59.3,76.31,2.06,41,385,False
P0256,Urban Forge Basketball,Sports & Outdoors,Team Sports,Urban Forge,200.34,484.2,2.32,45,323,False
P0257,Ridgeline Work Gloves,Industrial Supplies,Safety Equipment,Ridgeline,254.9,489.2,1.0,17,107,False
P0258,Ridgeline Seat Cover Set,Automotive Parts,Interior Accessories,Ridgeline,51.12,90.9,7.85,55,21,False
P0259,Steelbridge Washer Assortment,Industrial  Supplies,Fasteners,Steelbridge,149.18,221.57,3.52,8,207,False
P0260,Vantage Pro Baking Sheet,Home & Kitchen,Cookware,Vantage Pro,39.02,64.53,2.36,19,455,False
P0261,BrightPath Shipping Container,Industrial Supplies,Material Handling,BrightPath,160.34,298.21,1.19,59,207,False
P0262,Clearwater Outdoor Dining Table,Furniture,Outdoor Furniture,Clearwater,503.34,967.93,0.8,42,164,False
P0263,Halvorsen Cotton T-Shirt,Apparel & Footwear,Men's Apparel,Halvorsen,76.14,136.71,1.83,26,469,False
P0264,Northgate Cast Iron Skillet,Home & Kitchen,Cookware,Northgate,56.85,112.09,0.68,39,247,False
P0265,Halvorsen Cast Iron Skillet,Home & Kitchen,Cookware,Halvorsen,73.97,148.74,1.95,7,114,False
P0266,Everline Phone Case,Electronics,Mobile Accessories,Everline,148.43,331.58,1.34,17,141,False
P0267,Clearwater Legal Pad,Office Supplies,Paper Products,Clearwater,57.07,98.29,3.63,46,465,False
P0268,Vantage Pro Stainless Steel Pot Set,Home & Kitchen,Cookware,Vantage Pro,76.99,199.34,4.78,12,269,False
P0269,Halvorsen Wiper Blades,Automotive Parts,Maintenance,Halvorsen,140.95,194.32,1.05,18,317,False
P0270,TrueForm Cotton T-Shirt,Apparel & Footwear,Men's Apparel,TrueForm,17.27,39.82,1.86,41,227,False
P0271,Sunmark Cardigan,Apparel & Footwear,Women's Apparel,Sunmark,77.43,132.34,1.31,15,484,False
P0272,Clearwater Shaving Kit,Health & Personal Care,Personal Care,Clearwater,23.89,33.11,5.5,16,79,False
P0273,Oakfield Camping Tent,Sports & Outdoors,Camping & Hiking,Oakfield,228.29,461.72,4.87,15,54,False
P0274,Everline Ergonomic Office Chair,Furniture,Office Furniture,Everline,128.14,206.23,5.67,58,88,False
P0275,Vantage Pro Standing Desk,Furniture,Office Furniture,Vantage Pro,479.91,639.23,3.65,12,434,False
P0276,Halvorsen Drawer Organizer,Home & Kitchen,Storage & Organization,Halvorsen,10.96,14.71,1.35,44,159,False
P0277,Halvorsen Adjustable Dumbbells,Sports & Outdoors,Fitness Equipment,Halvorsen,219.05,371.72,0.92,25,108,False
P0278,Nordholt Volleyball Set,Sports & Outdoors,Team Sports,Nordholt,215.82,351.51,0.93,59,476,False
P0279,Primeworks Shin Guards,Sports & Outdoors,Team Sports,Primeworks,198.09,423.6,2.63,30,303,False
P0280,Craftmore Cycling Gloves,Sports & Outdoors,Cycling,Craftmore,87.8,207.41,1.61,30,485,False
P0281,BrightPath Yoga Mat,Sports & Outdoors,Fitness Equipment,BrightPath,167.19,211.56,3.92,15,308,False
P0282,Halvorsen Washer Assortment,Industrial Supplies,Fasteners,Halvorsen,262.07,373.49,4.98,42,235,False
P0283,Urban Forge Range Extender,Electronics,Networking,Urban Forge,218.46,286.9,8.68,48,295,False
P0284,Halvorsen Leather Belt,Apparel & Footwear,Accessories,Halvorsen,85.21,117.96,2.4,51,41,False
P0285,Kessler & Vane Phone Case,Electronics,Mobile Accessories,Kessler & Vane,166.5,299.46,1.91,11,92,False
P0286,Urban Forge Collectible Action Figure,Toys & Games,Action Figures,Urban Forge,56.61,91.08,1.0,29,393,False
P0287,Urban Forge Cardigan,Apparel & Footwear,Women's Apparel,Urban Forge,16.17,33.53,3.77,38,113,False
P0288,Clearwater Storage Cabinet,Office Supplies,Filing & Storage,Clearwater,38.25,84.53,2.39,55,296,False
P0289,Sunmark Cargo Strap,Industrial Supplies,Material Handling,Sunmark,102.62,202.71,2.03,31,120,False
P0290,Urban Forge Stainless Steel Pot Set,Home and Kitchen,Cookware,Urban Forge,75.62,127.54,2.61,13,449,False
P0291,Urban Forge Wireless Charger,Electronics,Mobile Accessories,Urban Forge,82.93,121.6,5.45,14,66,False
P0292,Ridgeline Phone Case,Electronics,Mobile Accessories,Ridgeline,40.27,92.37,1.36,33,476,False
P0293,Oakfield Garden Bench,Furniture,Outdoor Furniture,Oakfield,253.0,537.79,1.83,58,462,False
P0294,Nordholt Circular Saw,Industrial Supplies,Power Tools,Nordholt,206.1,465.65,0.54,17,391,False
P0295,Oakfield USB-C Hub,Electronics,Computer Accessories,Oakfield,170.39,404.71,4.65,28,200,False
P0296,Ridgeline Sunglasses,Apparel & Footwear,Accessories,Ridgeline,58.91,130.35,1.66,37,121,False
P0297,Everline Wiper Blades,Automotive Parts,Maintenance,Everline,171.29,420.05,7.09,38,98,False
P0298,Kessler & Vane Dash Cam,Automotive Parts,Electronics,Kessler & Vane,150.32,293.34,2.84,27,160,False
P0299,Everline Yoga Mat,Sports & Outdoors,Fitness Equipment,Everline,94.37,239.14,2.83,22,412,False
P0300,Northgate Shaving Kit,Health & Personal Care,Personal Care,Northgate,16.23,33.31,2.11,51,266,False
P0301,Lumenis Chess Set,Toys & Games,Board Games,Lumenis,19.58,28.42,2.37,35,308,False
P0302,Northgate Car Cover,Automotive Parts,Exterior Accessories,Northgate,23.08,41.05,3.15,39,79,False
P0303,Sunmark Polo Shirt,Apparel & Footwear,Men's Apparel,Sunmark,7.86,10.21,3.06,37,197,False
P0304,Oakfield Garden Bench,Furniture,Outdoor Furniture,Oakfield,326.62,834.58,2.39,41,438,False
P0305,Sunmark Threaded Rod,Industrial Supplies,Fasteners,Sunmark,254.62,351.02,1.86,21,339,True
P0306,Vantage Pro Basketball,Sports & Outdoors,Team Sports,Vantage Pro,112.54,268.31,4.01,6,480,False
P0307,Everline Steering Wheel Cover,Automotive Parts,Interior Accessories,Everline,194.62,432.49,0.32,10,200,False
P0308,Rivermark Electric Kettle,Home & Kitchen,Small Appliances,Rivermark,72.94,139.16,2.29,17,271,False
P0309,Halvorsen Memory Foam Pillow,Home & Kitchen,Bedding,Halvorsen,121.77,226.6,4.75,32,420,False
P0310,Oakfield Legal Pad,Office Supplies,Paper Products,Oakfield,9.85,24.41,0.55,50,242,False
P0311,Northgate Floor Mats,Automotive Parts,Interior Accessories,Northgate,92.73,213.64,9.01,13,424,False
P0312,Nordholt Shelving Unit,Home & Kitchen,Storage & Organization,Nordholt,138.8,342.12,1.54,35,292,False
P0313,Corestone Dining Chair Set,Furniture,Home Furniture,Corestone,461.24,818.47,7.57,13,246,False
P0314,Clearwater Vitamin C Tablets,Health & Personal Care,Vitamins & Supplements,Clearwater,8.1,20.37,1.55,32,498,False
P0315,TrueForm Copy Paper Ream,Office Supplies,Paper Products,TrueForm,7.94,20.64,2.52,52,162,False
P0316,Primeworks Vitamin C Tablets,Health & Personal Care,Vitamins & Supplements,Primeworks,36.66,95.11,1.99,32,478,False
P0317,Northgate Cardigan,Apparel & Footwear,Women's Apparel,Northgate,52.5,106.9,4.68,51,230,False
P0318,Vantage Pro Bookshelf,Office Supplies,Office Furniture,Vantage Pro,46.61,79.82,0.56,54,27,False
P0319,Everline Wi-Fi Router,Electronics,Networking,Everline,106.41,263.06,3.35,57,270,False
P0320,Corestone Backup Camera,Automotive Parts,Electronics,Corestone,242.59,354.64,,25,309,False
